@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}
@attribute outputs-2 {0,1,2,3,4,5,6,7,8}
@attribute outputs-3 {0,1,2,3,4,5,6,7,8}

@data
75,'2020/12/18 11:46:19:523',3,-1.816679,6.416383,7.190269,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
76,'2020/12/18 11:46:19:588',3,-1.840488,6.427437,7.174327,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
77,'2020/12/18 11:46:19:640',3,-1.830453,6.447015,7.159311,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
78,'2020/12/18 11:46:19:690',3,-1.830453,6.447015,7.159311,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
79,'2020/12/18 11:46:19:750',3,-1.830453,6.447015,7.159311,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
80,'2020/12/18 11:46:19:828',3,-1.830453,6.447015,7.159311,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
81,'2020/12/18 11:46:19:908',3,-1.830453,6.447015,7.159311,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
82,'2020/12/18 11:46:19:977',3,-1.822462,6.475659,7.135459,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
83,'2020/12/18 11:46:20:031',3,-1.822462,6.475659,7.135459,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
84,'2020/12/18 11:46:20:113',3,-1.822462,6.475659,7.135459,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
85,'2020/12/18 11:46:20:186',3,-1.822462,6.475659,7.135459,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
86,'2020/12/18 11:46:20:265',3,-1.822462,6.475659,7.135459,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
87,'2020/12/18 11:46:20:338',3,-1.8269,6.482085,7.128489,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
88,'2020/12/18 11:46:20:397',3,-1.8269,6.482085,7.128489,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
89,'2020/12/18 11:46:20:446',3,-1.8269,6.482085,7.128489,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
90,'2020/12/18 11:46:20:511',3,-1.829734,6.459273,7.148438,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
91,'2020/12/18 11:46:20:568',3,-1.829734,6.459273,7.148438,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
92,'2020/12/18 11:46:20:614',3,-1.829734,6.459273,7.148438,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
93,'2020/12/18 11:46:20:691',3,-1.844115,6.476857,7.128805,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
94,'2020/12/18 11:46:20:733',3,-1.844115,6.476857,7.128805,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
95,'2020/12/18 11:46:20:794',3,-1.844115,6.476857,7.128805,8,0,3.566463,315.99939,363.668091,0.16266,0.061594,0.129977,12.927843,0.73932,2.770679,2.878261,4.478559,4.654369,23.712969,6.814541,2,?,?
